,Fall,Major Name,College,Total,Male,Female,Illinois,Non-Illinois
447,1982,Genetics,LAS,5,2,3,1,4
639,1983,Genetics,LAS,6,3,3,2,4
834,1984,Genetics,LAS,4,2,2,1,3
1031,1985,Genetics,LAS,3,2,1,1,2
1227,1986,Genetics,LAS,2,2,0,1,1
1422,1987,Genetics,LAS,2,2,0,1,1
1615,1988,Genetics,LAS,1,1,0,1,0
76,1980,Geography,LAS,43,30,13,14,29
262,1981,Geography,LAS,43,30,13,15,28
448,1982,Geography,LAS,36,28,8,14,22
640,1983,Geography,LAS,34,25,9,11,23
835,1984,Geography,LAS,35,21,14,14,21
1032,1985,Geography,LAS,45,29,16,21,24
1228,1986,Geography,LAS,40,29,11,18,22
1423,1987,Geography,LAS,42,28,14,19,23
1616,1988,Geography,LAS,34,22,12,18,16
1809,1989,Geography,LAS,39,27,12,19,20
2003,1990,Geography,LAS,39,21,18,18,21
2198,1991,Geography,LAS,49,29,20,28,21
2388,1992,Geography,LAS,49,28,21,26,23
2577,1993,Geography,LAS,38,27,11,19,19
2766,1994,Geography,LAS,45,32,13,18,27
2958,1995,Geography,LAS,42,27,15,20,22
3148,1996,Geography,LAS,43,27,16,15,28
3344,1997,Geography,LAS,38,22,16,17,21
3547,1998,Geography,LAS,28,15,13,8,20
3748,1999,Geography,LAS,34,20,14,13,21
3944,2000,Geography,LAS,33,20,13,15,18
4131,2001,Geography,LAS,33,16,17,13,20
4315,2002,Geography,LAS,30,13,17,10,20
4497,2003,Geography,LAS,40,20,20,16,24
4678,2004,Geography,LAS,35,9,9,8,6
4848,2005,Geography,LAS,41,4,9,7,4
5021,2006,Geography,LAS,39,4,4,4,7
5196,2007,Geography,LAS,45,6,4,6,5
5377,2008,Geography,LAS,33,7,8,9,3
5565,2009,Geography,LAS,29,5,6,7,22
5764,2010,Geography,LAS,37,3,3,7,30
5967,2011,Geography,LAS,33,4,12,5,28
6179,2012,Geography,LAS,30,4,2,5,26
6385,2013,Geography,LAS,30,5,3,4,3
6594,2014,Geography,LAS,27,2,3,2,3
6801,2015,Geography,LAS,32,20,2,3,3
7008,2016,Geography,LAS,33,7,4,4,3
7216,2017,Geography,LAS,32,3,6,4,28
7428,2018,Geography,LAS,33,2,3,6,27
6386,2013,Geography & Geographic Info Sc,LAS,12,5,0,5,2
6595,2014,Geography & Geographic Info Sc,LAS,16,9,3,2,5
6802,2015,Geography & Geographic Info Sc,LAS,22,8,5,2,7
7009,2016,Geography & Geographic Info Sc,LAS,26,6,8,7,4
7217,2017,Geography & Geographic Info Sc,LAS,25,7,5,8,5
7429,2018,Geography & Geographic Info Sc,LAS,23,9,5,7,4
77,1980,Geology,LAS,64,45,19,47,46
263,1981,Geology,LAS,63,40,23,48,40
449,1982,Geology,LAS,60,41,19,53,41
641,1983,Geology,LAS,61,40,21,45,34
836,1984,Geology,LAS,60,42,7,33,34
1033,1985,Geology,LAS,55,39,4,23,32
1229,1986,Geology,LAS,50,36,5,25,32
1424,1987,Geology,LAS,55,41,5,19,36
1617,1988,Geology,LAS,39,6,5,7,25
1810,1989,Geology,LAS,35,6,6,8,24
2004,1990,Geology,LAS,41,5,9,7,29
2199,1991,Geology,LAS,39,7,9,11,29
2389,1992,Geology,LAS,40,27,7,18,27
2578,1993,Geology,LAS,40,28,6,17,3
2767,1994,Geology,LAS,44,25,7,20,32
2959,1995,Geology,LAS,42,25,17,23,30
3149,1996,Geology,LAS,34,21,13,25,24
3345,1997,Geology,LAS,31,18,6,7,13
3548,1998,Geology,LAS,29,16,4,6,2
3749,1999,Geology,LAS,28,21,7,26,16
3945,2000,Geology,LAS,33,23,10,21,21
4132,2001,Geology,LAS,33,23,3,13,23
4316,2002,Geology,LAS,34,6,5,9,25
4498,2003,Geology,LAS,38,4,4,9,29
4679,2004,Geology,LAS,26,9,9,7,4
4849,2005,Geology,LAS,32,8,9,7,7
5022,2006,Geology,LAS,42,9,6,7,9
5197,2007,Geology,LAS,29,7,8,7,5
5378,2008,Geology,LAS,22,9,9,5,4
5566,2009,Geology,LAS,18,9,9,9,5
5765,2010,Geology,LAS,19,9,7,9,5
5968,2011,Geology,LAS,17,8,7,6,4
6180,2012,Geology,LAS,19,8,9,9,6
6387,2013,Geology,LAS,27,8,8,7,6
6596,2014,Geology,LAS,33,3,7,6,5
6803,2015,Geology,LAS,37,30,9,6,6
7010,2016,Geology,LAS,36,4,2,6,7
7218,2017,Geology,LAS,37,7,2,9,7
7430,2018,Geology,LAS,33,7,4,8,6
78,1980,German,LAS,26,13,13,13,13
264,1981,German,LAS,22,11,11,11,11
450,1982,German,LAS,20,12,8,10,10
642,1983,German,LAS,22,14,8,7,15
837,1984,German,LAS,27,12,15,15,12
1034,1985,German,LAS,30,16,14,14,16
1230,1986,German,LAS,28,20,8,9,19
1425,1987,German,LAS,31,18,13,13,18
1618,1988,German,LAS,33,15,18,11,22
1811,1989,German,LAS,36,16,20,14,22
2005,1990,German,LAS,37,21,16,14,23
2200,1991,German,LAS,34,16,18,20,14
2390,1992,German,LAS,40,17,23,22,18
2579,1993,German,LAS,31,13,18,12,19
2768,1994,German,LAS,32,15,17,18,14
2960,1995,German,LAS,37,15,22,17,20
3150,1996,German,LAS,35,15,20,16,19
3346,1997,German,LAS,26,9,17,8,18
3549,1998,German,LAS,23,10,13,7,16
3750,1999,German,LAS,24,11,13,7,17
3946,2000,German,LAS,23,11,12,5,18
4133,2001,German,LAS,21,12,9,5,16
4317,2002,German,LAS,21,10,11,4,17
4499,2003,German,LAS,19,7,12,4,15
4680,2004,German,LAS,12,5,7,2,6
4850,2005,German,LAS,16,4,3,3,7
5023,2006,German,LAS,11,5,9,2,9
5198,2007,German,LAS,13,6,7,5,8
5379,2008,German,LAS,11,5,7,7,7
5567,2009,German,LAS,12,5,7,4,4
5766,2010,German,LAS,11,5,6,3,4
5969,2011,German,LAS,8,4,4,3,8
6181,2012,German,LAS,9,4,5,4,8
6388,2013,German,LAS,9,3,6,4,7
6597,2014,German,LAS,7,3,4,3,5
6804,2015,German,LAS,6,4,3,2,5
7011,2016,German,LAS,6,4,2,0,6
7219,2017,German,LAS,7,5,2,1,7
7431,2018,German,LAS,6,5,2,1,5
4681,2004,Germanic Lang & Lit,LAS,10,6,4,9,1
4851,2005,Germanic Lang & Lit,LAS,17,2,7,3,0
5024,2006,Germanic Lang & Lit,LAS,23,5,11,5,1
5199,2007,Germanic Lang & Lit,LAS,21,6,2,6,1
5380,2008,Germanic Lang & Lit,LAS,14,7,7,7,1
5568,2009,Germanic Lang & Lit,LAS,9,5,4,8,1
5767,2010,Germanic Lang & Lit,LAS,8,3,5,8,0
5970,2011,Germanic Lang & Lit,LAS,9,3,6,9,0
6182,2012,Germanic Lang & Lit,LAS,8,4,4,7,1
6389,2013,Germanic Lang & Lit,LAS,4,2,2,4,0
6598,2014,Germanic Lang & Lit,LAS,3,2,2,3,2
6805,2015,Germanic Lang & Lit,LAS,5,3,2,3,4
7012,2016,Germanic Lang & Lit,LAS,2,1,2,2,0
7220,2017,Germanic Lang & Lit,LAS,2,1,1,2,0
7432,2018,Germanic Lang & Lit,LAS,1,0,1,1,0
7433,2018,Germanic Studies,LAS,1,1,1,1,0
5569,2009,Global Studies,LAS,93,25,68,82,11
5768,2010,Global Studies,LAS,202,56,2,2,20
5971,2011,Global Studies,LAS,249,71,9,221,28
6183,2012,Global Studies,LAS,239,8,21,25,4
6390,2013,Global Studies,LAS,195,9,31,35,5
6599,2014,Global Studies,LAS,171,48,37,43,4
6806,2015,Global Studies,LAS,166,6,30,32,4
7013,2016,Global Studies,LAS,157,5,30,30,5
7221,2017,Global Studies,LAS,165,5,21,24,23
7434,2018,Global Studies,LAS,153,8,22,27,3
86,1980,HR&FS,LAS,61,0,61,58,3
271,1981,HR&FS,LAS,49,1,48,49,1
458,1982,HR&FS,LAS,47,0,47,46,1
649,1983,HR&FS,LAS,37,1,36,35,2
844,1984,HR&FS,LAS,44,1,43,42,2
1040,1985,HR&FS,LAS,35,1,34,34,1
1236,1986,HR&FS,LAS,15,0,15,14,1
1431,1987,HR&FS,LAS,1,0,1,1,0
5974,2011,Health Communication,LAS,1,0,1,1,0
7223,2017,Health Communication,LAS,28,1,27,11,17
7436,2018,Health Communication,LAS,27,2,25,13,14
90,1980,History,LAS,82,46,36,59,23
275,1981,History,LAS,84,60,24,58,26
462,1982,History,LAS,71,47,24,48,23
653,1983,History,LAS,73,47,26,44,29
848,1984,History,LAS,81,55,26,51,30
1044,1985,History,LAS,83,53,30,51,32
1240,1986,History,LAS,92,57,35,49,43
1435,1987,History,LAS,102,64,38,55,47
1626,1988,History,LAS,102,72,30,57,45
1819,1989,History,LAS,129,88,41,74,55
2013,1990,History,LAS,117,84,33,62,55
2208,1991,History,LAS,150,105,45,72,78
2397,1992,History,LAS,134,94,40,65,69
2586,1993,History,LAS,127,95,32,60,67
2775,1994,History,LAS,135,96,39,63,72
2967,1995,History,LAS,123,84,39,53,70
3158,1996,History,LAS,126,80,46,49,77
3357,1997,History,LAS,116,78,38,47,69
3561,1998,History,LAS,116,75,41,41,75
3762,1999,History,LAS,106,70,36,37,69
3957,2000,History,LAS,98,62,36,26,72
4144,2001,History,LAS,98,63,35,28,70
4327,2002,History,LAS,101,59,42,25,76
4508,2003,History,LAS,99,56,43,22,77
4683,2004,History,LAS,518,60,48,506,86
4853,2005,History,LAS,488,65,58,77,96
5026,2006,History,LAS,476,63,55,86,91
5201,2007,History,LAS,494,68,51,95,92
5382,2008,History,LAS,439,67,54,94,20
5572,2009,History,LAS,409,6,9,83,2
5771,2010,History,LAS,392,56,7,81,93
5975,2011,History,LAS,346,8,45,67,77
6186,2012,History,LAS,290,8,94,61,77
6393,2013,History,LAS,217,50,67,50,76
6602,2014,History,LAS,180,47,62,40,78
6809,2015,History,LAS,154,95,59,7,88
7016,2016,History,LAS,190,50,64,8,76
7224,2017,History,LAS,200,49,8,6,76
7437,2018,History,LAS,217,9,9,8,73
4684,2004,History of Art,LAS,38,5,33,37,1
4854,2005,History of Art,LAS,30,3,28,29,1
5027,2006,History of Art,LAS,32,4,28,27,5
5202,2007,History of Art,LAS,33,5,8,8,4
5383,2008,History of Art,LAS,44,5,39,40,4
5573,2009,History of Art,LAS,34,4,30,30,4
5772,2010,History of Art,LAS,31,0,31,27,4
5976,2011,History of Art,LAS,33,1,9,27,6
6187,2012,History of Art,LAS,26,2,6,8,6
6394,2013,History of Art,LAS,26,1,9,9,6
6603,2014,History of Art,LAS,20,1,4,3,3
6810,2015,History of Art,LAS,17,1,5,4,5
7017,2016,History of Art,LAS,12,1,6,6,1
7225,2017,History of Art,LAS,15,2,6,5,5
7438,2018,History of Art,LAS,15,3,5,5,3
4690,2004,Humanities,LAS,16,6,10,13,3
4860,2005,Humanities,LAS,7,5,2,6,1
5034,2006,Humanities,LAS,8,3,5,8,0
5209,2007,Humanities,LAS,3,3,0,3,0
4691,2004,Individual Plans of Study,LAS,3,0,3,3,0
4861,2005,Individual Plans of Study,LAS,5,2,3,5,0
5035,2006,Individual Plans of Study,LAS,9,7,2,9,0
5210,2007,Individual Plans of Study,LAS,6,2,4,5,1
5390,2008,Individual Plans of Study,LAS,6,4,2,6,0
5580,2009,Individual Plans of Study,LAS,5,3,2,5,0
5779,2010,Individual Plans of Study,LAS,4,4,2,4,0
5983,2011,Individual Plans of Study,LAS,3,3,1,3,0
6193,2012,Individual Plans of Study,LAS,3,2,1,1,3
6400,2013,Individual Plans of Study,LAS,5,1,4,5,0
6609,2014,Individual Plans of Study,LAS,6,1,5,6,0
6816,2015,Individual Plans of Study,LAS,7,3,4,7,0
7024,2016,Individual Plans of Study,LAS,4,1,3,4,0
7232,2017,Individual Plans of Study,LAS,8,2,6,8,0
7445,2018,Individual Plans of Study,LAS,12,5,7,12,0
4695,2004,Integrative Biology,LAS,188,82,106,175,13
4865,2005,Integrative Biology,LAS,245,4,2,6,16
5039,2006,Integrative Biology,LAS,291,3,2,5,10
5214,2007,Integrative Biology,LAS,255,14,4,5,5
5395,2008,Integrative Biology,LAS,274,19,27,44,6
5585,2009,Integrative Biology,LAS,294,132,21,29,3
5784,2010,Integrative Biology,LAS,314,2,7,9,3
5989,2011,Integrative Biology,LAS,383,5,7,4,4
6199,2012,Integrative Biology,LAS,394,2,229,9,22
6406,2013,Integrative Biology,LAS,383,8,7,8,24
6615,2014,Integrative Biology,LAS,359,9,6,4,3
6822,2015,Integrative Biology,LAS,347,5,7,7,5
7031,2016,Integrative Biology,LAS,349,6,6,5,3
7240,2017,Integrative Biology,LAS,316,8,5,8,7
7453,2018,Integrative Biology,LAS,282,3,6,8,8
4696,2004,Interdisciplinary,LAS,13,7,6,7,2
4866,2005,Interdisciplinary,LAS,20,3,8,6,2
5040,2006,Interdisciplinary,LAS,19,5,6,6,2
5215,2007,Interdisciplinary,LAS,21,7,7,19,2
5396,2008,Interdisciplinary,LAS,34,4,7,31,3
5586,2009,Interdisciplinary,LAS,20,2,6,5,2
5785,2010,Interdisciplinary,LAS,10,7,3,3,0
5990,2011,Interdisciplinary,LAS,4,4,2,4,0
6200,2012,Interdisciplinary,LAS,3,0,3,3,0
6407,2013,Interdisciplinary,LAS,2,0,2,1,1
6616,2014,Interdisciplinary,LAS,2,1,1,1,2
6823,2015,Interdisciplinary,LAS,3,2,1,1,3
7032,2016,Interdisciplinary,LAS,1,1,1,1,1
7241,2017,Interdisciplinary,LAS,1,1,1,1,0
7454,2018,Interdisciplinary,LAS,2,1,1,2,0
4697,2004,International Studies,LAS,255,93,162,232,23
4867,2005,International Studies,LAS,311,89,3,6,32
5041,2006,International Studies,LAS,352,2,252,4,45
5216,2007,International Studies,LAS,365,107,3,4,36
5397,2008,International Studies,LAS,398,2,288,4,46
5587,2009,International Studies,LAS,299,88,210,256,43
5786,2010,International Studies,LAS,118,32,85,14,18
5991,2011,International Studies,LAS,44,12,31,35,9
6201,2012,International Studies,LAS,5,3,2,2,3
6408,2013,International Studies,LAS,1,1,0,0,1
97,1980,Italian,LAS,2,2,0,2,0
282,1981,Italian,LAS,5,2,3,4,1
469,1982,Italian,LAS,5,2,3,4,1
660,1983,Italian,LAS,5,1,4,5,0
855,1984,Italian,LAS,6,1,5,4,2
1051,1985,Italian,LAS,6,2,4,3,3
1247,1986,Italian,LAS,9,3,6,6,3
1442,1987,Italian,LAS,6,3,3,4,2
1633,1988,Italian,LAS,7,2,5,7,0
1826,1989,Italian,LAS,2,0,2,2,0
2019,1990,Italian,LAS,4,0,4,2,2
2214,1991,Italian,LAS,5,0,5,2,3
2403,1992,Italian,LAS,5,1,4,2,3
2591,1993,Italian,LAS,6,1,5,2,4
2780,1994,Italian,LAS,6,1,5,2,4
2971,1995,Italian,LAS,5,0,5,1,4
3162,1996,Italian,LAS,6,0,6,0,6
3366,1997,Italian,LAS,7,0,7,0,7
3572,1998,Italian,LAS,4,0,4,0,4
3772,1999,Italian,LAS,6,0,6,0,6
3968,2000,Italian,LAS,3,0,3,0,3
4154,2001,Italian,LAS,4,0,4,0,4
4337,2002,Italian,LAS,4,1,3,0,4
4518,2003,Italian,LAS,3,1,2,0,3
4699,2004,Italian,LAS,6,1,5,6,3
4869,2005,Italian,LAS,7,1,6,7,2
5043,2006,Italian,LAS,6,1,5,6,3
5218,2007,Italian,LAS,6,4,2,6,2
5399,2008,Italian,LAS,7,3,4,7,3
5589,2009,Italian,LAS,8,3,5,8,2
5787,2010,Italian,LAS,5,1,4,5,1
5992,2011,Italian,LAS,3,2,1,3,2
6202,2012,Italian,LAS,3,2,2,3,3
6409,2013,Italian,LAS,4,3,1,4,1
6618,2014,Italian,LAS,2,2,1,2,1
6825,2015,Italian,LAS,3,2,3,2,3
7034,2016,Italian,LAS,5,2,5,1,4
7243,2017,Italian,LAS,3,2,2,2,3
7456,2018,Italian,LAS,3,2,2,2,2
5791,2010,LAS - Undeclared,LAS,95,34,61,88,7
5996,2011,LAS - Undeclared,LAS,177,69,108,160,17
6206,2012,LAS - Undeclared,LAS,178,58,120,165,13
6413,2013,LAS - Undeclared,LAS,154,53,101,147,7
6622,2014,LAS - Undeclared,LAS,165,67,98,156,9
6829,2015,LAS - Undeclared,LAS,135,40,95,129,6
7038,2016,LAS - Undeclared,LAS,114,31,83,113,1
7247,2017,LAS - Undeclared,LAS,116,38,78,116,0
7460,2018,LAS - Undeclared,LAS,135,46,89,134,1
101,1980,LAS TCH MATH,LAS,1,0,1,1,0
286,1981,LAS TCH MATH,LAS,1,0,1,1,0
664,1983,LAS TCH MATH,LAS,2,0,2,2,0
859,1984,LAS TCH MATH,LAS,3,1,2,3,0
1055,1985,LAS TCH MATH,LAS,6,2,4,5,1
1251,1986,LAS TCH MATH,LAS,10,5,5,9,1
1446,1987,LAS TCH MATH,LAS,11,3,8,11,0
1637,1988,LAS TCH MATH,LAS,12,3,9,12,0
1830,1989,LAS TCH MATH,LAS,16,5,11,15,1
2023,1990,LAS TCH MATH,LAS,13,3,10,12,1
2218,1991,LAS TCH MATH,LAS,17,5,12,16,1
2407,1992,LAS TCH MATH,LAS,13,6,7,13,0
2595,1993,LAS TCH MATH,LAS,16,4,12,16,0
2784,1994,LAS TCH MATH,LAS,11,4,7,11,0
2975,1995,LAS TCH MATH,LAS,6,2,4,5,1
3166,1996,LAS TCH MATH,LAS,3,1,2,2,1
3370,1997,LAS TCH MATH,LAS,9,4,5,9,0
3576,1998,LAS TCH MATH,LAS,6,3,3,6,0
3776,1999,LAS TCH MATH,LAS,1,1,0,1,0
3371,1997,LATIN AMER ST,LAS,1,1,0,0,1
3577,1998,LATIN AMER ST,LAS,3,1,2,2,1
3777,1999,LATIN AMER ST,LAS,4,1,3,3,1
3972,2000,LATIN AMER ST,LAS,5,2,3,3,2
4158,2001,LATIN AMER ST,LAS,7,3,4,3,4
4341,2002,LATIN AMER ST,LAS,8,4,4,3,5
4521,2003,LATIN AMER ST,LAS,3,1,2,1,2
4703,2004,Latin American Studies,LAS,8,4,5,7,5
4873,2005,Latin American Studies,LAS,8,3,6,6,4
5047,2006,Latin American Studies,LAS,7,5,3,7,2
5223,2007,Latin American Studies,LAS,7,4,5,7,3
5404,2008,Latin American Studies,LAS,9,3,6,7,2
5594,2009,Latin American Studies,LAS,9,5,4,8,6
5793,2010,Latin American Studies,LAS,6,3,3,6,4
5998,2011,Latin American Studies,LAS,6,3,3,6,3
6208,2012,Latin American Studies,LAS,5,2,5,5,4
6415,2013,Latin American Studies,LAS,7,1,6,3,4
6624,2014,Latin American Studies,LAS,6,2,4,5,1
6831,2015,Latin American Studies,LAS,2,1,1,2,0
7249,2017,Latin American Studies,LAS,2,2,0,2,0
7462,2018,Latin American Studies,LAS,3,2,1,3,0
5999,2011,Latina/Latino Studies,LAS,8,3,5,8,0
6209,2012,Latina/Latino Studies,LAS,6,2,4,6,0
6416,2013,Latina/Latino Studies,LAS,3,2,1,3,0
6625,2014,Latina/Latino Studies,LAS,4,1,4,4,0
6832,2015,Latina/Latino Studies,LAS,2,1,1,2,0
7040,2016,Latina/Latino Studies,LAS,11,3,8,3,0
7250,2017,Latina/Latino Studies,LAS,10,1,9,3,0
7463,2018,Latina/Latino Studies,LAS,15,1,14,15,0
106,1980,Linguistics,LAS,63,32,31,24,39
291,1981,Linguistics,LAS,73,41,32,25,48
477,1982,Linguistics,LAS,74,33,41,23,51
669,1983,Linguistics,LAS,82,34,48,27,55
864,1984,Linguistics,LAS,76,36,40,25,51
1060,1985,Linguistics,LAS,72,37,35,18,54
1256,1986,Linguistics,LAS,79,39,40,19,60
1451,1987,Linguistics,LAS,89,43,46,23,66
1642,1988,Linguistics,LAS,87,41,46,22,65
1835,1989,Linguistics,LAS,91,43,48,23,68
2028,1990,Linguistics,LAS,94,42,52,19,75
2223,1991,Linguistics,LAS,99,44,55,19,80
2412,1992,Linguistics,LAS,93,42,51,12,81
2600,1993,Linguistics,LAS,88,40,48,10,78
2789,1994,Linguistics,LAS,84,38,46,10,74
2980,1995,Linguistics,LAS,81,30,51,12,69
3171,1996,Linguistics,LAS,68,23,45,11,57
3376,1997,Linguistics,LAS,55,16,39,5,50
3582,1998,Linguistics,LAS,55,17,38,8,47
3782,1999,Linguistics,LAS,49,18,31,3,46
3977,2000,Linguistics,LAS,70,26,44,8,62
4163,2001,Linguistics,LAS,74,26,48,9,65
4346,2002,Linguistics,LAS,67,24,43,7,60
4526,2003,Linguistics,LAS,71,25,46,9,62
4707,2004,Linguistics,LAS,53,19,8,9,8
4877,2005,Linguistics,LAS,48,20,28,6,7
5051,2006,Linguistics,LAS,59,27,9,8,9
5227,2007,Linguistics,LAS,74,6,6,71,8
5408,2008,Linguistics,LAS,65,8,6,7,9
5598,2009,Linguistics,LAS,41,5,9,8,35
5796,2010,Linguistics,LAS,39,9,27,7,32
6002,2011,Linguistics,LAS,46,7,25,7,5
6212,2012,Linguistics,LAS,50,7,34,9,6
6419,2013,Linguistics,LAS,53,6,5,47,6
6628,2014,Linguistics,LAS,63,9,9,55,8
6836,2015,Linguistics,LAS,67,8,9,59,8
7044,2016,Linguistics,LAS,73,9,46,61,26
7254,2017,Linguistics,LAS,78,8,50,68,29
7467,2018,Linguistics,LAS,79,7,41,66,24
4709,2004,Math & Computer Science,LAS,159,138,20,118,41
4879,2005,Math & Computer Science,LAS,125,3,10,99,26
5053,2006,Math & Computer Science,LAS,120,111,8,101,19
5231,2007,Math & Computer Science,LAS,106,99,7,88,18
5412,2008,Math & Computer Science,LAS,92,84,8,77,15
5602,2009,Math & Computer Science,LAS,79,68,11,63,16
5800,2010,Math & Computer Science,LAS,82,72,10,57,25
6006,2011,Math & Computer Science,LAS,71,63,8,46,25
6216,2012,Math & Computer Science,LAS,84,70,14,50,34
6423,2013,Math & Computer Science,LAS,160,132,28,80,80
6632,2014,Math & Computer Science,LAS,205,4,35,90,3
6840,2015,Math & Computer Science,LAS,254,6,44,3,6
7048,2016,Math & Computer Science,LAS,300,3,52,122,4
7258,2017,Math & Computer Science,LAS,302,247,54,114,4
7472,2018,Math & Computer Science,LAS,264,7,46,84,8
115,1980,Mathematics,LAS,139,119,20,39,100
300,1981,Mathematics,LAS,151,123,28,44,107
487,1982,Mathematics,LAS,159,124,35,51,108
679,1983,Mathematics,LAS,181,142,39,62,119
873,1984,Mathematics,LAS,181,135,46,61,120
1069,1985,Mathematics,LAS,184,135,49,59,125
1264,1986,Mathematics,LAS,167,127,40,53,114
1459,1987,Mathematics,LAS,163,116,47,48,115
1652,1988,Mathematics,LAS,173,131,42,55,118
1846,1989,Mathematics,LAS,208,160,48,54,154
2039,1990,Mathematics,LAS,204,161,43,46,158
2233,1991,Mathematics,LAS,205,158,47,41,164
2422,1992,Mathematics,LAS,194,148,46,36,158
2609,1993,Mathematics,LAS,193,148,45,36,157
2799,1994,Mathematics,LAS,188,146,42,21,167
2991,1995,Mathematics,LAS,196,148,48,30,166
3182,1996,Mathematics,LAS,195,149,46,22,173
3387,1997,Mathematics,LAS,168,129,39,17,151
3593,1998,Mathematics,LAS,155,116,39,9,146
3791,1999,Mathematics,LAS,171,121,50,15,156
3987,2000,Mathematics,LAS,173,122,51,11,162
4172,2001,Mathematics,LAS,167,125,42,13,154
4356,2002,Mathematics,LAS,175,137,38,15,160
4535,2003,Mathematics,LAS,165,130,35,15,150
4710,2004,Mathematics,LAS,226,99,99,7,9
4880,2005,Mathematics,LAS,279,9,39,58,7
5054,2006,Mathematics,LAS,300,8,36,56,8
5232,2007,Mathematics,LAS,284,5,42,59,4
5413,2008,Mathematics,LAS,178,9,68,63,8
5603,2009,Mathematics,LAS,270,6,4,59,66
5801,2010,Mathematics,LAS,314,6,43,64,99
6007,2011,Mathematics,LAS,350,7,50,69,9
6217,2012,Mathematics,LAS,322,7,97,52,9
6424,2013,Mathematics,LAS,376,9,6,7,8
6633,2014,Mathematics,LAS,390,6,9,9,6
6841,2015,Mathematics,LAS,425,98,8,8,29
7049,2016,Mathematics,LAS,462,99,7,9,9
7259,2017,Mathematics,LAS,446,94,7,6,8
7473,2018,Mathematics,LAS,464,85,9,9,8
118,1980,Microbiology,LAS,59,34,25,22,37
303,1981,Microbiology,LAS,61,33,28,27,34
490,1982,Microbiology,LAS,73,40,33,38,35
682,1983,Microbiology,LAS,67,37,30,41,26
877,1984,Microbiology,LAS,65,42,23,38,27
1073,1985,Microbiology,LAS,59,36,23,34,25
1268,1986,Microbiology,LAS,60,38,22,40,20
1463,1987,Microbiology,LAS,63,37,26,36,27
1656,1988,Microbiology,LAS,62,39,23,29,33
1850,1989,Microbiology,LAS,63,35,28,25,38
2043,1990,Microbiology,LAS,69,39,30,22,47
2237,1991,Microbiology,LAS,69,43,26,18,51
2426,1992,Microbiology,LAS,60,39,21,12,48
2613,1993,Microbiology,LAS,72,44,28,19,53
2803,1994,Microbiology,LAS,73,47,26,18,55
2995,1995,Microbiology,LAS,79,51,28,35,44
3186,1996,Microbiology,LAS,61,36,25,24,37
3391,1997,Microbiology,LAS,65,37,28,26,39
3597,1998,Microbiology,LAS,56,32,24,21,35
3795,1999,Microbiology,LAS,54,24,30,17,37
3990,2000,Microbiology,LAS,52,26,26,12,40
4175,2001,Microbiology,LAS,49,23,26,7,42
4359,2002,Microbiology,LAS,52,25,27,9,43
4538,2003,Microbiology,LAS,60,23,37,10,50
4713,2004,Microbiology,LAS,65,5,5,9,57
4883,2005,Microbiology,LAS,82,36,46,3,70
5057,2006,Microbiology,LAS,72,32,40,2,62
5235,2007,Microbiology,LAS,69,31,38,2,58
5416,2008,Microbiology,LAS,69,31,38,3,55
5607,2009,Microbiology,LAS,64,26,38,2,51
5805,2010,Microbiology,LAS,67,24,43,16,51
6011,2011,Microbiology,LAS,60,21,39,12,48
6221,2012,Microbiology,LAS,58,24,34,13,45
6428,2013,Microbiology,LAS,52,24,28,10,42
6636,2014,Microbiology,LAS,53,20,33,15,38
6844,2015,Microbiology,LAS,54,21,33,15,39
7052,2016,Microbiology,LAS,55,22,33,15,40
7262,2017,Microbiology,LAS,53,20,33,13,40
7477,2018,Microbiology,LAS,49,20,29,10,39
119,1980,Molecular & Integrative Physi,LAS,57,43,14,28,29
304,1981,Molecular & Integrative Physi,LAS,60,41,19,34,26
491,1982,Molecular & Integrative Physi,LAS,56,40,16,28,28
683,1983,Molecular & Integrative Physi,LAS,56,38,18,28,28
878,1984,Molecular & Integrative Physi,LAS,54,35,19,26,28
1074,1985,Molecular & Integrative Physi,LAS,59,41,18,29,30
1269,1986,Molecular & Integrative Physi,LAS,49,36,13,26,23
1464,1987,Molecular & Integrative Physi,LAS,58,38,20,27,31
1657,1988,Molecular & Integrative Physi,LAS,60,39,21,28,32
1851,1989,Molecular & Integrative Physi,LAS,58,35,23,23,35
2044,1990,Molecular & Integrative Physi,LAS,60,34,26,22,38
2238,1991,Molecular & Integrative Physi,LAS,61,36,25,22,39
2427,1992,Molecular & Integrative Physi,LAS,51,31,20,20,31
2614,1993,Molecular & Integrative Physi,LAS,53,33,20,21,32
2804,1994,Molecular & Integrative Physi,LAS,46,28,18,15,31
2996,1995,Molecular & Integrative Physi,LAS,51,32,19,17,34
3187,1996,Molecular & Integrative Physi,LAS,54,36,18,22,32
3392,1997,Molecular & Integrative Physi,LAS,50,31,19,21,29
3598,1998,Molecular & Integrative Physi,LAS,46,30,16,22,24
3796,1999,Molecular & Integrative Physi,LAS,42,25,17,20,22
3991,2000,Molecular & Integrative Physi,LAS,40,25,15,15,25
4176,2001,Molecular & Integrative Physi,LAS,40,25,15,14,26
4360,2002,Molecular & Integrative Physi,LAS,35,23,12,11,24
4539,2003,Molecular & Integrative Physi,LAS,40,26,14,12,28
4714,2004,Molecular & Integrative Physi,LAS,32,4,9,9,24
4884,2005,Molecular & Integrative Physi,LAS,35,20,15,9,26
